max_time;nodes;formula_size;sample_count;compilation;visualization;simulation;
400;100;4;1000000;177521;645;369993;
500;100;4;1000000;169922;857;450922;
500;100;4;1000000;173121;897;451009;
500;100;4;1000000;158716;746;452392;
500;100;4;1000000;174369;850;451101;
500;100;4;1000000;173358;876;452102;
600;100;4;1000000;163535;947;533359;
600;100;4;1000000;166230;1041;531508;
600;100;4;1000000;171925;1018;533133;
600;100;4;1000000;171691;1042;533279;
600;100;4;1000000;165342;981;532064;
700;100;4;1000000;172314;1254;614703;
700;100;4;1000000;163212;1139;614301;
700;100;4;1000000;170147;1164;613633;
700;100;4;1000000;161114;1107;612735;
700;100;4;1000000;161931;1092;613631;
800;100;4;1000000;165872;1325;689838;
800;100;4;1000000;166240;1366;691479;
800;100;4;1000000;172333;1513;693545;
800;100;4;1000000;173917;1424;693114;
800;100;4;1000000;169316;1392;693322;
900;100;4;1000000;176243;1569;775086;
900;100;4;1000000;173222;1634;774139;
900;100;4;1000000;173292;1670;776168;
900;100;4;1000000;173189;1584;778350;
900;100;4;1000000;172676;1597;775223;
1000;100;4;1000000;171494;1782;852585;
1000;100;4;1000000;172601;1806;855624;
1000;100;4;1000000;163582;1762;854383;
1000;100;4;1000000;168353;1712;853866;
1000;100;4;1000000;167257;1741;853351;
100;100;4;1000000;172292;153;110817;
100;100;4;1000000;175128;142;111242;
100;100;4;1000000;174785;147;110712;
100;100;4;1000000;170641;156;111045;
100;100;4;1000000;161375;141;110531;
100;100;9;1000000;197042;145;124147;
100;100;9;1000000;201532;149;124314;
100;100;9;1000000;207903;165;123488;
100;100;9;1000000;205901;149;124322;
100;100;9;1000000;201394;150;124388;
100;100;14;1000000;233651;185;133935;
100;100;14;1000000;242974;174;134987;
100;100;14;1000000;232961;155;135727;
100;100;14;1000000;223553;143;135404;
100;100;14;1000000;228218;164;135320;
100;100;19;1000000;274606;181;148067;
100;100;19;1000000;281813;165;149392;
100;100;19;1000000;281228;170;148411;
100;100;19;1000000;280471;164;148581;
100;100;19;1000000;252975;154;147042;
100;100;24;1000000;289894;171;164700;
100;100;24;1000000;288319;172;163055;
100;100;24;1000000;304274;191;162905;
100;100;24;1000000;289249;166;162317;
100;100;24;1000000;307561;192;161434;
100;100;29;1000000;319034;181;153595;
100;100;29;1000000;339051;192;154051;
100;100;29;1000000;343907;185;153734;
100;100;29;1000000;342793;187;151753;
100;100;29;1000000;346883;201;153798;
100;100;34;1000000;338235;172;164398;
100;100;34;1000000;362231;184;166714;
100;100;34;1000000;366841;213;164949;
100;100;34;1000000;365856;198;165696;
100;100;34;1000000;371007;191;165366;
100;100;39;1000000;403989;189;175921;
100;100;39;1000000;378477;171;174375;
100;100;39;1000000;383809;169;175103;
100;100;39;1000000;385880;188;175101;
100;100;39;1000000;383388;184;175561;
100;100;44;1000000;420013;180;178948;
100;100;44;1000000;434995;188;179100;
100;100;44;1000000;435699;188;180835;
100;100;44;1000000;462223;199;179891;
100;100;44;1000000;434071;200;178927;
100;100;49;1000000;467952;197;186103;
100;100;49;1000000;471755;199;187957;
100;100;49;1000000;478637;190;187598;
100;100;49;1000000;474903;196;188194;
100;100;49;1000000;460616;202;187754;
100;200;4;2000000;241085;125;292878;
100;200;4;2000000;215454;135;266804;
100;200;4;2000000;231834;124;269023;
100;200;4;2000000;214031;117;267950;
100;200;24;2000000;478297;142;456859;
100;200;24;2000000;469070;140;454890;
100;200;24;2000000;470577;138;455232;
100;200;24;2000000;472010;138;457718;
100;200;49;2000000;772092;151;2818785;
100;200;49;2000000;771714;146;2817953;
100;200;49;2000000;776444;149;2822349;
100;200;49;2000000;779167;149;2822634;
